acc_now_delinq,acc_open_past_24mths,all_util,annual_inc,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,collections_12_mths_ex_med,delinq_amnt,dti,inq_fi,inq_last_12m,inq_last_6mths,installment,int_rate,last_pymnt_amnt,loan_amnt,max_bal_bc,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_last_delinq,mths_since_rcnt_il,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,open_acc,open_acc_6m,open_act_il,open_il_12m,open_il_24m,open_rv_12m,open_rv_24m,out_prncp,out_prncp_inv,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,revol_bal,revol_util,tax_liens,tot_coll_amt,tot_cur_bal,tot_hi_cred_lim,total_acc,total_bal_ex_mort,total_bal_il,total_bc_limit,total_cu_tl,total_il_high_credit_limit,total_pymnt,total_pymnt_inv,total_rec_int,total_rec_late_fee,total_rec_prncp,total_rev_hi_lim,delinq_2yrs,bad_loans
0.0,3.0,1.0,52000.0,25099.0,30359.0,0.5,0.0,0.0,0.0,0.58,1.0,2.0,0.0,93.1,7.34,614.03,3000.0,141.0,132.0,242.0,18.0,7.0,4.0,26.0,7.0,0.0,1.0,1.0,4.0,15.0,7.0,6.0,19.0,1.0,7.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,96.7,0.0,0.0,141.0,0.5,0.0,0.0,150592.0,191216.0,30.0,141.0,0.0,30500.0,2.0,0.0,3011.5772850636,3011.58,11.58,0.0,3000.0,31000.0,0.0,0
0.0,2.0,47.0,55000.0,2222.0,10551.0,52.0,0.0,0.0,0.0,14.18,0.0,1.0,0.0,166.03,11.98,5019.97,5000.0,4829.0,77.0,199.0,3.0,3.0,0.0,74.0,33.0,1.0,3.0,3.0,4.0,7.0,6.0,13.0,18.0,3.0,14.0,0.0,0.0,2.0,14.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,95.7,33.3,1.0,11449.0,33.9,0.0,0.0,28880.0,61551.0,24.0,28880.0,17431.0,22000.0,1.0,27751.0,5013.3066666668,5013.31,13.31,0.0,5000.0,33800.0,0.0,0
0.0,3.0,86.0,51000.0,4541.0,2498.0,0.1,0.0,0.0,0.0,10.56,4.0,2.0,1.0,35.89,17.47,998.95,1000.0,2.0,120.0,9.0,1.0,1.0,0.0,61.0,17.0,1.0,1.0,1.0,2.0,2.0,7.0,2.0,2.0,1.0,5.0,0.0,0.0,2.0,5.0,1.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,88.9,0.0,0.0,2.0,0.1,1.0,0.0,22707.0,26501.0,9.0,22707.0,22705.0,2500.0,0.0,24001.0,1032.9036187255,1032.9,32.9,0.0,1000.0,2500.0,0.0,0
0.0,2.0,41.0,62000.0,18520.0,18310.0,51.2,0.0,0.0,0.0,16.53,2.0,4.0,0.0,679.48,13.58,20039.99,20000.0,7241.0,104.0,148.0,5.0,5.0,5.0,44.0,47.0,0.0,5.0,5.0,5.0,6.0,2.0,6.0,11.0,5.0,8.0,0.0,0.0,2.0,8.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,83.3,40.0,0.0,19190.0,48.6,0.0,0.0,148161.0,195776.0,18.0,24959.0,5769.0,37500.0,0.0,21976.0,20009.8055555555,19984.79,9.81,0.0,20000.0,39500.0,0.0,0
0.0,11.0,60.0,30000.0,5990.0,7898.0,7.1,0.0,0.0,0.0,9.85,0.0,0.0,0.0,602.55,17.47,23776.33,24000.0,359.0,152.0,39.0,2.0,2.0,0.0,60.0,2.0,1.0,2.0,4.0,4.0,5.0,11.0,7.0,8.0,4.0,11.0,0.0,0.0,3.0,11.0,3.0,4.0,2.0,5.0,1.0,6.0,0.0,0.0,94.1,0.0,0.0,877.0,7.3,0.0,0.0,65886.0,74319.0,19.0,65886.0,65009.0,8500.0,5.0,62319.0,24334.7365537572,24334.74,334.74,0.0,24000.0,12000.0,0.0,0
0.0,3.0,32.0,58000.0,16129.0,10282.0,6.5,0.0,0.0,0.0,24.25,2.0,3.0,0.0,266.82,11.98,281.82,12000.0,718.0,186.0,193.0,9.0,7.0,0.0,19.0,7.0,0.0,1.0,1.0,1.0,4.0,7.0,1.0,4.0,1.0,3.0,0.0,0.0,2.0,3.0,0.0,2.0,1.0,2.0,1.0,1.0,11972.78,11947.84,81.8,0.0,0.0,718.0,6.5,0.0,0.0,48386.0,79112.0,11.0,48386.0,47668.0,11000.0,0.0,68112.0,265.85,265.3,223.63,15.0,27.22,11000.0,1.0,1
0.0,2.0,57.0,48000.0,2855.0,7459.0,25.4,0.0,0.0,0.0,15.08,0.0,0.0,0.0,192.01,9.43,0.0,6000.0,2541.0,166.0,157.0,5.0,5.0,0.0,3.0,22.0,0.0,1.0,3.0,1.0,9.0,13.0,4.0,15.0,3.0,8.0,0.0,0.0,1.0,8.0,1.0,4.0,0.0,1.0,1.0,1.0,6000.0,6000.0,86.4,0.0,0.0,2728.0,22.4,0.0,0.0,22839.0,39897.0,28.0,22839.0,20111.0,10000.0,0.0,27697.0,0.0,0.0,0.0,0.0,0.0,12200.0,1.0,1
0.0,21.0,32.0,186500.0,2443.0,107477.0,18.8,0.0,0.0,0.0,15.75,2.0,7.0,3.0,466.1,14.07,20148.52,20000.0,3626.0,132.0,350.0,2.0,2.0,1.0,49.0,6.0,1.0,18.0,18.0,21.0,33.0,11.0,25.0,39.0,18.0,30.0,0.0,0.0,12.0,30.0,4.0,4.0,3.0,7.0,8.0,13.0,0.0,0.0,97.8,0.0,0.0,24823.0,17.8,0.0,0.0,68397.0,210994.0,52.0,68397.0,29694.0,132300.0,0.0,57714.0,20117.2466666673,20117.25,117.25,0.0,20000.0,139400.0,0.0,0
0.0,7.0,58.0,12000.0,48449.0,100.0,96.0,0.0,0.0,0.0,27.6,2.0,3.0,0.0,571.7,21.85,15460.51,15000.0,1933.0,31.0,90.0,2.0,2.0,2.0,14.0,8.0,0.0,2.0,4.0,2.0,12.0,3.0,6.0,16.0,4.0,7.0,0.0,0.0,4.0,7.0,2.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,90.5,100.0,1.0,7159.0,57.7,0.0,0.0,339146.0,345376.0,21.0,7159.0,0.0,2500.0,0.0,0.0,15424.0869187685,15424.09,424.09,0.0,15000.0,12400.0,1.0,0
0.0,4.0,74.0,54000.0,11336.0,6635.0,44.7,0.0,0.0,0.0,14.53,3.0,3.0,2.0,81.73,10.9,2508.33,2500.0,5365.0,114.0,224.0,11.0,4.0,0.0,50.0,4.0,3.0,1.0,1.0,2.0,15.0,6.0,2.0,26.0,1.0,3.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,90.6,0.0,0.0,5365.0,44.7,0.0,0.0,34009.0,46050.0,33.0,34009.0,28644.0,12000.0,3.0,34050.0,2505.2963888884,2505.3,5.3,0.0,2500.0,12000.0,0.0,0
